timestamp,epoch,batch,loss
2025-07-29 15:08:09,1,100,1.1121
2025-07-29 15:08:21,1,200,0.7562
2025-07-29 15:08:33,1,300,0.5836
2025-07-29 15:08:44,1,400,0.3952
2025-07-29 15:08:56,1,500,0.3577
2025-07-29 15:09:08,1,600,0.3459
2025-07-29 15:09:20,1,700,0.3395
2025-07-29 15:09:31,1,800,0.3344
2025-07-29 15:09:43,1,900,0.333
2025-07-29 15:09:55,1,1000,0.3312
2025-07-29 15:10:07,1,1100,0.3272
2025-07-29 15:10:19,1,1200,0.3276
2025-07-29 15:10:31,1,1300,0.3263
2025-07-29 15:10:43,1,1400,0.3256
2025-07-29 15:10:55,1,1500,0.3238
2025-07-29 15:11:06,1,1600,0.3229
2025-07-29 15:11:18,1,1700,0.3201
2025-07-29 15:11:30,1,1800,0.3196
2025-07-29 15:11:42,1,1900,0.3202
2025-07-29 15:11:53,1,2000,0.3172
2025-07-29 15:12:05,1,2100,0.3195
2025-07-29 15:12:17,1,2200,0.3225
2025-07-29 15:12:28,1,2300,0.3191
2025-07-29 15:12:40,1,2400,0.3185
2025-07-29 15:12:52,1,2500,0.3167
2025-07-29 15:13:04,2,100,0.3153
2025-07-29 15:13:16,2,200,0.3153
2025-07-29 15:13:28,2,300,0.312
2025-07-29 15:13:40,2,400,0.3115
2025-07-29 15:13:52,2,500,0.3116
2025-07-29 15:14:04,2,600,0.312
2025-07-29 15:14:16,2,700,0.3116
2025-07-29 15:14:28,2,800,0.3103
2025-07-29 15:14:40,2,900,0.3099
2025-07-29 15:14:52,2,1000,0.3097
2025-07-29 15:15:04,2,1100,0.3072
2025-07-29 15:15:16,2,1200,0.308
2025-07-29 15:15:28,2,1300,0.3064
2025-07-29 15:15:40,2,1400,0.3053
2025-07-29 15:15:52,2,1500,0.3037
2025-07-29 15:16:04,2,1600,0.3032
2025-07-29 15:16:16,2,1700,0.3023
2025-07-29 15:16:28,2,1800,0.2986
2025-07-29 15:16:40,2,1900,0.2988
2025-07-29 15:16:52,2,2000,0.2988
2025-07-29 15:17:04,2,2100,0.2969
2025-07-29 15:17:16,2,2200,0.2966
2025-07-29 15:17:28,2,2300,0.294
2025-07-29 15:17:40,2,2400,0.2941
2025-07-29 15:17:52,2,2500,0.2928
2025-07-29 15:18:05,3,100,0.2905
2025-07-29 15:18:17,3,200,0.2894
2025-07-29 15:18:30,3,300,0.2887
2025-07-29 15:18:42,3,400,0.2864
2025-07-29 15:18:54,3,500,0.2851
2025-07-29 15:19:06,3,600,0.2837
2025-07-29 15:19:18,3,700,0.2812
2025-07-29 15:19:30,3,800,0.2763
2025-07-29 15:19:42,3,900,0.2766
2025-07-29 15:19:54,3,1000,0.2735
2025-07-29 15:20:06,3,1100,0.2724
2025-07-29 15:20:18,3,1200,0.2716
2025-07-29 15:20:31,3,1300,0.2713
2025-07-29 15:20:43,3,1400,0.272
2025-07-29 15:20:55,3,1500,0.2705
2025-07-29 15:21:07,3,1600,0.2741
2025-07-29 15:21:19,3,1700,0.2743
2025-07-29 15:21:31,3,1800,0.2734
2025-07-29 15:21:43,3,1900,0.2738
2025-07-29 15:21:55,3,2000,0.2725
2025-07-29 15:22:07,3,2100,0.2721
2025-07-29 15:22:19,3,2200,0.2712
2025-07-29 15:22:31,3,2300,0.2731
2025-07-29 15:22:43,3,2400,0.2703
2025-07-29 15:22:55,3,2500,0.2713
2025-07-29 15:23:07,4,100,0.2702
2025-07-29 15:23:20,4,200,0.2711
2025-07-29 15:23:32,4,300,0.2709
2025-07-29 15:23:44,4,400,0.2694
2025-07-29 15:23:56,4,500,0.2684
2025-07-29 15:24:08,4,600,0.2698
2025-07-29 15:24:20,4,700,0.268
2025-07-29 15:24:32,4,800,0.2684
2025-07-29 15:24:44,4,900,0.2666
2025-07-29 15:24:56,4,1000,0.2674
2025-07-29 15:25:08,4,1100,0.2679
2025-07-29 15:25:20,4,1200,0.2669
2025-07-29 15:25:32,4,1300,0.266
2025-07-29 15:25:44,4,1400,0.2672
2025-07-29 15:25:56,4,1500,0.2675
2025-07-29 15:26:08,4,1600,0.2651
2025-07-29 15:26:20,4,1700,0.2648
2025-07-29 15:26:33,4,1800,0.2664
2025-07-29 15:26:45,4,1900,0.2661
2025-07-29 15:26:57,4,2000,0.2647
2025-07-29 15:27:09,4,2100,0.2658
2025-07-29 15:27:21,4,2200,0.2647
2025-07-29 15:27:33,4,2300,0.2644
2025-07-29 15:27:45,4,2400,0.2649
2025-07-29 15:27:57,4,2500,0.2648
