timestamp,epoch,loss
2025-08-03 19:35:48,1,0.6048
2025-08-03 19:40:22,2,0.4719
2025-08-03 19:44:56,3,0.4243
2025-08-03 19:49:31,4,0.3796
2025-08-03 19:54:05,5,0.3597
2025-08-03 19:58:39,6,0.3519
2025-08-03 20:03:13,7,0.3445
2025-08-03 20:07:47,8,0.335
2025-08-03 20:12:21,9,0.3245
2025-08-03 20:16:55,10,0.3145
2025-08-03 20:21:29,11,0.3083
2025-08-03 20:26:03,12,0.3039
2025-08-03 20:30:36,13,0.3025
2025-08-03 20:35:10,14,0.3014
2025-08-03 20:39:44,15,0.2992
2025-08-03 20:44:18,16,0.2974
2025-08-03 20:48:52,17,0.2952
2025-08-03 20:53:26,18,0.2946
2025-08-03 20:58:00,19,0.2937
2025-08-03 21:02:33,20,0.2927
2025-08-03 21:07:07,21,0.292
2025-08-03 21:11:41,22,0.2911
2025-08-03 21:16:15,23,0.2903
2025-08-03 21:20:49,24,0.29
2025-08-03 21:25:23,25,0.2892
2025-08-03 21:29:57,26,0.2888
2025-08-03 21:34:31,27,0.2885
2025-08-03 21:39:05,28,0.288
2025-08-03 21:43:40,29,0.2869
2025-08-03 21:48:14,30,0.2866
2025-08-03 21:52:49,31,0.2857
2025-08-03 21:57:23,32,0.2856
2025-08-03 22:01:57,33,0.2853
2025-08-03 22:06:31,34,0.2852
2025-08-03 22:11:05,35,0.2852
2025-08-03 22:15:39,36,0.2852
2025-08-03 22:20:17,37,0.2851
2025-08-03 22:24:51,38,0.2851
2025-08-03 22:29:25,39,0.2851
2025-08-03 22:33:59,40,0.2851
2025-08-03 22:38:33,41,0.2851
2025-08-03 22:43:07,42,0.2847
2025-08-03 22:47:41,43,0.2844
2025-08-03 22:52:14,44,0.2844
2025-08-03 22:56:48,45,0.2844
2025-08-03 23:01:22,46,0.2843
2025-08-03 23:05:56,47,0.2843
2025-08-03 23:10:30,48,0.2835
2025-08-03 23:15:04,49,0.2831
2025-08-03 23:19:38,50,0.2831
2025-08-03 23:24:12,51,0.2831
2025-08-03 23:28:46,52,0.2831
2025-08-03 23:33:20,53,0.2831
2025-08-03 23:37:54,54,0.283
2025-08-03 23:42:28,55,0.2829
2025-08-03 23:47:03,56,0.2829
2025-08-03 23:51:37,57,0.2828
2025-08-03 23:56:11,58,0.2828
2025-08-04 00:00:46,59,0.2828
2025-08-04 00:05:20,60,0.2828
2025-08-04 01:09:07,61,0.2825
2025-08-04 01:13:41,62,0.2825
2025-08-04 01:18:15,63,0.2825
2025-08-04 01:22:49,64,0.2825
2025-08-04 01:27:23,65,0.2824
2025-08-04 01:31:57,66,0.2824
2025-08-04 01:36:31,67,0.2824
2025-08-04 01:41:05,68,0.2824
2025-08-04 01:45:39,69,0.2824
2025-08-04 01:50:13,70,0.2824
2025-08-04 01:54:47,71,0.2823
2025-08-04 01:59:21,72,0.2822
2025-08-04 02:03:55,73,0.2822
2025-08-04 02:08:29,74,0.2822
2025-08-04 02:13:02,75,0.2821
2025-08-04 02:17:36,76,0.2821
2025-08-04 02:22:10,77,0.2822
2025-08-04 02:26:44,78,0.2821
2025-08-04 02:31:18,79,0.2821
2025-08-04 02:35:52,80,0.2821
2025-08-04 02:40:26,81,0.2821
2025-08-04 02:45:00,82,0.2821
2025-08-04 02:49:33,83,0.2821
2025-08-04 02:54:07,84,0.2821
2025-08-04 02:58:41,85,0.2821
2025-08-04 03:03:15,86,0.2821
2025-08-04 03:07:49,87,0.2821
