timestamp,epoch,batch,loss
2025-08-01 14:51:59,5,2400,0.2534
2025-08-01 14:52:07,5,2500,0.2524
2025-08-01 14:52:15,6,100,0.2545
2025-08-01 14:52:23,6,200,0.2542
2025-08-01 14:52:31,6,300,0.2553
2025-08-01 14:52:39,6,400,0.2547
2025-08-01 14:52:47,6,500,0.254
2025-08-01 14:52:55,6,600,0.253
2025-08-01 14:53:03,6,700,0.2522
2025-08-01 14:53:11,6,800,0.2515
2025-08-01 14:53:19,6,900,0.249
2025-08-01 14:53:27,6,1000,0.2486
2025-08-01 14:53:35,6,1100,0.2458
2025-08-01 14:53:43,6,1200,0.2442
2025-08-01 14:53:51,6,1300,0.2436
2025-08-01 14:53:59,6,1400,0.2435
2025-08-01 14:54:07,6,1500,0.2422
2025-08-01 14:54:15,6,1600,0.2415
2025-08-01 14:54:23,6,1700,0.2409
2025-08-01 14:54:31,6,1800,0.2413
2025-08-01 14:54:39,6,1900,0.24
2025-08-01 14:54:47,6,2000,0.2399
2025-08-01 14:54:54,6,2100,0.2389
2025-08-01 14:55:02,6,2200,0.2366
2025-08-01 14:55:10,6,2300,0.2363
2025-08-01 14:55:18,6,2400,0.2358
2025-08-01 14:55:26,6,2500,0.2355
2025-08-01 14:55:34,7,100,0.2334
2025-08-01 14:55:42,7,200,0.2327
2025-08-01 14:55:50,7,300,0.2329
2025-08-01 14:55:58,7,400,0.2326
2025-08-01 14:56:06,7,500,0.2342
2025-08-01 14:56:14,7,600,0.2323
2025-08-01 14:56:22,7,700,0.2316
2025-08-01 14:56:30,7,800,0.2303
2025-08-01 14:56:38,7,900,0.229
2025-08-01 14:56:46,7,1000,0.2253
2025-08-01 14:56:54,7,1100,0.3238
2025-08-01 14:57:02,7,1200,0.2451
2025-08-01 14:57:10,7,1300,0.2403
2025-08-01 14:57:18,7,1400,0.2388
2025-08-01 14:57:26,7,1500,0.237
2025-08-01 14:57:33,7,1600,0.2352
2025-08-01 14:57:41,7,1700,0.2347
2025-08-01 14:57:49,7,1800,0.2328
